Samples	SBS1	SBS5	SBS12	SBS15	SBS16	SBS21	SBS22a	SBS40a	SBS95
TCGA-RG-A7D4-01	8	60	0	0	21	0	0	34	0
TCGA-UB-A7MA-01	10	95	0	0	0	0	0	0	0
TCGA-UB-A7MB-01	0	390	534	0	0	0	945	0	0
TCGA-UB-A7MC-01	0	84	0	0	0	0	0	0	0
TCGA-UB-A7MD-01	14	65	0	0	0	0	0	64	0
TCGA-UB-A7ME-01	6	61	0	0	0	0	42	0	0
TCGA-UB-A7MF-01	9	122	0	0	0	0	0	0	0
TCGA-UB-AA0U-01	4	43	0	0	0	0	0	58	0
TCGA-UB-AA0V-01	2	16	0	10	0	0	0	28	0
TCGA-WJ-A86L-01	5	100	0	0	0	0	0	0	51
TCGA-WQ-A9G7-01	117	325	0	142	0	0	0	0	0
TCGA-WQ-AB4B-01	8	81	0	0	0	0	0	0	0
TCGA-WX-AA44-01	1	99	0	0	0	0	0	0	0
TCGA-WX-AA46-01	5	3	22	0	0	0	0	58	0
TCGA-WX-AA47-01	0	51	0	0	0	0	0	0	0
TCGA-XR-A8TD-01	2	45	0	0	0	0	0	0	20
TCGA-XR-A8TE-01	10	0	0	0	0	0	0	0	12
TCGA-XR-A8TF-01	1	35	0	0	0	0	53	86	0
TCGA-XR-A8TG-01	0	114	0	0	0	0	0	0	0
TCGA-YA-A8S7-01	6	93	0	0	0	0	0	0	0
TCGA-ZP-A9CV-01	0	53	31	0	0	0	0	50	0
TCGA-ZP-A9CY-01	2	102	0	0	0	0	0	0	0
TCGA-ZP-A9CZ-01	6	66	0	0	0	0	0	0	0
TCGA-ZP-A9D0-01	3	64	0	0	0	0	0	0	0
TCGA-ZP-A9D1-01	3	76	50	0	0	0	45	0	0
TCGA-ZP-A9D2-01	9	16	19	0	0	0	0	23	0
TCGA-ZP-A9D4-01	3	50	0	0	0	0	0	36	0
TCGA-ZS-A9CD-01	0	38	0	0	0	0	0	92	0
TCGA-ZS-A9CE-01	8	57	0	0	0	0	0	86	0
TCGA-ZS-A9CF-01	7	79	0	0	0	0	0	0	33
TCGA-ZS-A9CG-01	1	81	0	0	0	0	15	0	0
